
After insertion, size of Splay tree: 500

Largest Element: 9992

Smallest Element: 2

 Node	Parent
------	------
 5379 	0
 1841 	5379
 7987 	5379
 510 	1841
 4442 	1841
 5646 	7987
 8083 	7987
 356 	510
 1737 	510
 3137 	4442
 5255 	4442
 5641 	5646
 6157 	5646
 8039 	8083
 9495 	8083
 50 	356
 370 	356
 1731 	1737
 1815 	1737
 2811 	3137
 3547 	3137
 4594 	5255
 5258 	5255
 5615 	5641
 5656 	6157
 7689 	6157
 8002 	8039
 8048 	8039
 9130 	9495
 9760 	9495
 2 	50
 274 	50
 381 	370
 690 	1731
 1819 	1815
 2649 	2811
 3057 	2811
 3535 	3547
 4081 	3547
 4448 	4594
 4756 	4594
 5351 	5258
 5566 	5615
 5627 	5615
 5802 	5656
 7494 	7689
 7930 	7689
 8082 	8048
 8302 	9130
 9256 	9130
 9497 	9760
 9913 	9760
 120 	274
 395 	381
 663 	690
 846 	690
 1866 	2649
 2676 	2649
 2883 	3057
 3098 	3057
 3302 	3535
 4031 	4081
 4296 	4081
 4560 	4448
 4748 	4756
 5023 	4756
 5310 	5351
 5391 	5566
 5601 	5566
 5794 	5802
 5878 	5802
 6988 	7494
 7603 	7494
 7713 	7930
 7973 	7930
 8080 	8082
 8249 	8302
 8736 	8302
 9142 	9256
 9467 	9256
 9635 	9497
 9844 	9913
 9961 	9913
 64 	120
 129 	120
 390 	395
 413 	395
 568 	663
 669 	663
 790 	846
 1594 	846
 1848 	1866
 1876 	1866
 2742 	2676
 2833 	2883
 3011 	2883
 3073 	3098
 3167 	3302
 3421 	3302
 3750 	4031
 4147 	4296
 4389 	4296
 4538 	4560
 4610 	4748
 4941 	5023
 5209 	5023
 5341 	5310
 5539 	5391
 5676 	5794
 5804 	5878
 5944 	5878
 6872 	6988
 7280 	6988
 7504 	7603
 7652 	7603
 7706 	7713
 7734 	7713
 7942 	7973
 8050 	8080
 8100 	8249
 8276 	8249
 8723 	8736
 9084 	8736
 9206 	9142
 9325 	9467
 9581 	9635
 9658 	9635
 9776 	9844
 9936 	9961
 9972 	9961
 60 	64
 74 	64
 137 	129
 405 	413
 471 	413
 562 	568
 581 	568
 786 	790
 843 	790
 1376 	1594
 1712 	1594
 1856 	1848
 1869 	1876
 2201 	1876
 2759 	2742
 2812 	2833
 2879 	2833
 2999 	3011
 3074 	3073
 3262 	3167
 3359 	3421
 3432 	3421
 3687 	3750
 3752 	3750
 4114 	4147
 4289 	4147
 4341 	4389
 4419 	4389
 4516 	4538
 4621 	4610
 4817 	4941
 4960 	4941
 5060 	5209
 5316 	5341
 5453 	5539
 5675 	5676
 5706 	5676
 5830 	5804
 5941 	5944
 6034 	5944
 6444 	6872
 6886 	6872
 7187 	7280
 7401 	7280
 7553 	7504
 7645 	7652
 7685 	7652
 7710 	7706
 7720 	7734
 7737 	7734
 8134 	8100
 8412 	8723
 8731 	8723
 8873 	9084
 9103 	9084
 9181 	9206
 9259 	9325
 9466 	9325
